index,y_hat,labels,y_hat_1,labels_1,y_hat_2,labels_2,y_hat_3,labels_3,y,anomalies,y_hat_6
2022-03-14 20:00:00,14775.063783213263,0,14775.063783213263,0,14775.063783213263,0,14775.063783213263,0,14775.063783213263,0,14775.063783213263
2022-03-14 21:00:00,15069.991700748911,0,15069.991700748911,0,15069.991700748911,0,15069.991700748911,0,15069.991700748911,0,15069.991700748911
2022-03-14 22:00:00,14766.202987525256,0,14766.202987525256,0,14766.202987525256,0,14766.202987525256,0,14766.202987525256,0,14766.202987525256
2022-03-14 23:00:00,14503.814784641509,0,14503.814784641509,0,14503.814784641509,0,14503.814784641509,0,14503.814784641509,0,14503.814784641509
2022-03-15 00:00:00,15456.180890949376,0,15456.180890949376,0,15456.180890949376,0,15456.180890949376,0,15456.180890949376,0,15456.180890949376
2022-03-15 01:00:00,14322.531830206652,0,14322.531830206652,0,14322.531830206652,0,14322.531830206652,0,14322.531830206652,0,14322.531830206652
2022-03-15 02:00:00,14334.301528626132,0,14334.301528626132,0,14334.301528626132,0,14334.301528626132,0,14334.301528626132,0,14334.301528626132
2022-03-15 03:00:00,14395.271581498588,0,14395.271581498588,0,14395.271581498588,0,14395.271581498588,0,14395.271581498588,0,14395.271581498588
2022-03-15 04:00:00,14502.150962852022,0,14502.150962852022,0,14502.150962852022,0,14502.150962852022,0,14502.150962852022,0,14502.150962852022
2022-03-15 05:00:00,14688.979254413844,0,14688.979254413844,0,14688.979254413844,0,14688.979254413844,0,14688.979254413844,0,14688.979254413844
2022-03-15 06:00:00,14882.498439151625,0,14882.498439151625,0,14882.498439151625,0,14882.498439151625,0,14882.498439151625,0,14882.498439151625
2022-03-15 07:00:00,15387.296977068454,0,15387.296977068454,0,15387.296977068454,0,15387.296977068454,0,15387.296977068454,0,15387.296977068454
2022-03-15 08:00:00,15222.50103094592,0,15222.50103094592,0,15222.50103094592,0,15222.50103094592,0,15222.50103094592,0,15222.50103094592
2022-03-15 09:00:00,15388.02766435048,0,15388.02766435048,0,15388.02766435048,0,15388.02766435048,0,15388.02766435048,0,15388.02766435048
2022-03-15 10:00:00,15445.885819484412,0,15445.885819484412,0,15445.885819484412,0,15445.885819484412,0,15445.885819484412,0,15445.885819484412
2022-03-15 11:00:00,15493.987415318685,0,15493.987415318685,0,15493.987415318685,0,15493.987415318685,0,15493.987415318685,0,15493.987415318685
2022-03-15 12:00:00,15903.600308902644,0,15903.600308902644,0,15903.600308902644,0,15903.600308902644,0,15903.600308902644,0,15903.600308902644
2022-03-15 13:00:00,16228.010495547474,0,16228.010495547474,0,16228.010495547474,0,16228.010495547474,0,16228.010495547474,0,16228.010495547474
2022-03-15 14:00:00,16585.336289234132,0,16585.336289234132,0,16585.336289234132,0,16585.336289234132,0,16585.336289234132,0,16585.336289234132
2022-03-15 15:00:00,16966.604433137123,0,16966.604433137123,0,16966.604433137123,0,16966.604433137123,0,16966.604433137123,0,16966.604433137123
2022-03-15 16:00:00,17298.81747867412,0,17298.81747867412,0,17298.81747867412,0,17298.81747867412,0,17298.81747867412,0,17298.81747867412
2022-03-15 17:00:00,17307.45152828733,0,17307.45152828733,0,17307.45152828733,0,17307.45152828733,0,17307.45152828733,0,17307.45152828733
2022-03-15 18:00:00,17237.056293790163,0,17237.056293790163,0,17237.056293790163,0,17237.056293790163,0,17237.056293790163,0,17237.056293790163
2022-03-15 19:00:00,16358.7611806477,0,16358.7611806477,0,16358.7611806477,0,16358.7611806477,0,16358.7611806477,0,16358.7611806477
2022-03-15 20:00:00,15973.678863769,0,15973.678863769,0,15973.678863769,0,15973.678863769,0,15973.678863769,0,15973.678863769
2022-03-15 21:00:00,16100.366974723236,0,16100.366974723236,0,16100.366974723236,0,16100.366974723236,0,16100.366974723236,0,16100.366974723236
2022-03-15 22:00:00,15790.175839796062,0,15790.175839796062,0,15790.175839796062,0,15790.175839796062,0,15790.175839796062,0,15790.175839796062
2022-03-15 23:00:00,15493.675363758572,0,15493.675363758572,0,15493.675363758572,0,15493.675363758572,0,15493.675363758572,0,15493.675363758572
2022-03-16 00:00:00,15903.185276452636,0,15903.185276452636,0,15903.185276452636,0,15903.185276452636,0,15903.185276452636,0,15903.185276452636
2022-03-16 01:00:00,15488.52518198746,0,15488.52518198746,0,15488.52518198746,0,15488.52518198746,0,15488.52518198746,0,15488.52518198746
2022-03-16 02:00:00,15362.687839353845,0,15362.687839353845,0,15362.687839353845,0,15362.687839353845,0,15362.687839353845,0,15362.687839353845
2022-03-16 03:00:00,15371.638805742668,0,15371.638805742668,0,15371.638805742668,0,15371.638805742668,0,15371.638805742668,0,15371.638805742668
2022-03-16 04:00:00,15544.682770233356,0,15544.682770233356,0,15544.682770233356,0,15544.682770233356,0,15544.682770233356,0,15544.682770233356
2022-03-16 05:00:00,15538.98684703167,0,15538.98684703167,0,15538.98684703167,0,15538.98684703167,0,15538.98684703167,0,15538.98684703167
2022-03-16 06:00:00,15675.47165785858,0,15675.47165785858,0,15675.47165785858,0,15675.47165785858,0,15675.47165785858,0,15675.47165785858
2022-03-16 07:00:00,16091.527999067015,0,16091.527999067015,0,16091.527999067015,0,16091.527999067015,0,16091.527999067015,0,16091.527999067015
2022-03-16 08:00:00,15753.376812595829,0,15753.376812595829,0,15753.376812595829,0,15753.376812595829,0,15753.376812595829,0,15753.376812595829
2022-03-16 09:00:00,15930.25707173106,0,15930.25707173106,0,15930.25707173106,0,15930.25707173106,0,15930.25707173106,0,15930.25707173106
2022-03-16 10:00:00,15955.876523832883,0,15955.876523832883,0,15955.876523832883,0,15955.876523832883,0,15955.876523832883,0,15955.876523832883
2022-03-16 11:00:00,16351.28511567089,0,16351.28511567089,0,16351.28511567089,0,16351.28511567089,0,16351.28511567089,0,16351.28511567089
2022-03-16 12:00:00,16672.55042399431,0,16672.55042399431,0,16672.55042399431,0,16672.55042399431,0,16672.55042399431,0,16672.55042399431
2022-03-16 13:00:00,16970.80023741698,0,16970.80023741698,0,16970.80023741698,0,16970.80023741698,0,16970.80023741698,0,16970.80023741698
2022-03-16 14:00:00,17296.422595437143,0,17296.422595437143,0,17296.422595437143,0,17296.422595437143,0,17296.422595437143,0,17296.422595437143
2022-03-16 15:00:00,17747.096388138452,0,17747.096388138452,0,17747.096388138452,0,17747.096388138452,0,17747.096388138452,0,17747.096388138452
2022-03-16 16:00:00,17969.969524261338,0,17969.969524261338,0,17969.969524261338,0,17969.969524261338,0,17969.969524261338,0,17969.969524261338
2022-03-16 17:00:00,18160.31168300508,0,18160.31168300508,0,18160.31168300508,0,18160.31168300508,0,18160.31168300508,0,18160.31168300508
2022-03-16 18:00:00,17831.120942536723,0,17831.120942536723,0,17831.120942536723,0,17831.120942536723,0,17831.120942536723,0,17831.120942536723
2022-03-16 19:00:00,16773.77830854353,0,16773.77830854353,0,16773.77830854353,0,16773.77830854353,0,16773.77830854353,0,16773.77830854353
2022-03-16 20:00:00,16268.213377253544,0,16268.213377253544,0,16268.213377253544,0,16268.213377253544,0,16268.213377253544,0,16268.213377253544
2022-03-16 21:00:00,16375.18371377516,0,16375.18371377516,0,16375.18371377516,0,16375.18371377516,0,16375.18371377516,0,16375.18371377516
